Year,S&P 500,T-Bill,T-Bond,Baa Bond,Real Estate,Gold
1928,0.43811155152887893,0.0308,0.008354708589799302,0.03219551470232438,0.01491053677932408,0.0009689922480620172
1929,-0.0829794661190966,0.0316,0.04203804156320426,0.03017856239904043,-0.020568070519098924,-0.0014520813165538327
1930,-0.25123636363636365,0.0455,0.045409314348970366,0.005397809464823829,-0.04299999999999993,0.0009694619486184664
1931,-0.4383754889178619,0.0231,-0.02558855961942253,-0.15680775082667592,-0.08150470219435735,-0.17384987893462467
1932,-0.08642364532019696,0.0107,0.08790306990477326,0.23589601675740196,-0.10466439135381123,0.21277842907385724
1933,0.49982225433526023,0.0096,0.01855272089185736,0.1296689369754826,-0.03811944091486652,0.2725954567423874
1934,-0.011885656970912803,0.0027833333333333334,0.0796344261796561,0.18816429268482648,0.029062087186261465,0.3175085453854918
1935,0.4674042105263158,0.001675,0.04472047729656613,0.1330773186567917,0.09765833726229745,0.004324012683770695
1936,0.3194341027550261,0.001725,0.0501787540454506,0.11383815871922703,0.03218601454670411,0.000861079219288019
1937,-0.3533672875436554,0.002758333333333333,0.01379146059646038,-0.044161916839982614,0.025633912223270494,-0.0022942357327214724
1938,0.29282654028436017,0.00065,0.04213248532204607,0.0923588171368742,-0.0087368136326752,0.0017246335153779935
1939,-0.010975646879756443,0.0004583333333333333,0.04412261394206067,0.0798313776534614,-0.013016072256937905,-0.012338593974175027
1940,-0.10672873194221515,0.00035833333333333333,0.05402481596284551,0.08648137177582957,0.03306607685927565,-0.016560139453805967
1941,-0.1277145557655955,0.0012916666666666669,-0.020221975848580105,0.05007172857275923,-0.08384627736444894,0.0
1942,0.19173762945914843,0.003425,0.022948682374484164,0.051799010426587015,0.03333041217538635,0.0
1943,0.25061310133060394,0.0038,0.0249,0.08044670060105924,0.11446259964945993,0.0
1944,0.1903067694944301,0.0038,0.025776111579070303,0.0656586358825617,0.16584227481419478,0.0
1945,0.358210843373494,0.0038,0.03804417341923723,0.06799865477817886,0.11777376471356127,0.025406203840472763
1946,-0.08429147465437781,0.0038,0.031283745375695685,0.025080329773195936,0.2410168567758013,0.0
1947,0.052,0.006008333333333333,0.009196968062832236,0.0026212022665691934,0.2126388104648973,0.0
1948,0.057045751633986834,0.01045,0.019510369413175046,0.03436959560510321,0.020585153855108507,0.0
1949,0.18303223684210526,0.01115,0.04663485182797314,0.053773011179658936,0.0008934851624431417,-0.08700662633246903
1950,0.30805539011316263,0.012033333333333333,0.00429595741710961,0.042388173056720914,0.03640392529281433,0.09561375828337004
1951,0.2367846304454234,0.015175000000000001,-0.0029531392208319886,-0.001909809130136969,0.060476481368356705,0.0
1952,0.18150988641144306,0.017225,0.022679961918305656,0.04441241504740077,0.044066820276497776,-0.003456221198156584
1953,-0.012082047421904465,0.018908333333333333,0.04143840258908851,0.016201123818443276,0.11516568544995809,0.006936416184971206
1954,0.525633212414349,0.0093752,0.032898034558095555,0.061579051817707856,0.009227220299884653,0.0057405281285876075
1955,0.3259733185102835,0.017243426294820716,-0.013364391288618781,0.02044690004344954,0.0,-0.00028538812785383616
1956,0.07439511873350935,0.026213888888888887,-0.022557738173154165,-0.023526541979620903,0.00914285714285712,-0.0011418783899515006
1957,-0.1045736018855796,0.03224566929133858,0.0679701284662499,-0.007189284402542365,0.027180067950169917,-0.0011431837667904565
1958,0.43719954988747184,0.017665461847389558,-0.020990181755274694,0.06430092897336026,0.006615214994487362,0.0042918454935620964
1959,0.12056457163557326,0.0338601593625498,-0.026466312591385065,0.015743430895022732,0.0010952902519167917,0.0
1960,0.00336535314743695,0.028729718875502006,0.11639503690963365,0.06663187163303434,0.007658643326039272,0.004843304843304974
1961,0.2663771295818275,0.023524899598393576,0.020609208076323167,0.051,0.009771986970684043,-0.0005670541536717533
1962,-0.08811460517120888,0.027723694779116466,0.05693544054008462,0.06495327993606576,0.003225806451612634,-0.0005673758865248901
1963,0.22611927099841514,0.03156024096385542,0.016841620739546127,0.054644805711862345,0.02143622722400873,-0.003973885892704865
1964,0.16415455878432425,0.035457370517928286,0.037280648911540815,0.05161739272285027,0.012591815320041944,0.00028498147620403813
1965,0.12399242477876114,0.03949076305220883,0.007188550935926234,0.03190009462253881,0.01658031088082912,0.0005698005698004938
1966,-0.0997095423563779,0.048557199999999995,0.029079409324299622,-0.03445361597577637,0.012232415902140525,0.0002847380410024858
1967,0.23802966513133328,0.04293453815261044,-0.015806209932824666,0.008952266148446825,0.023162134944612278,-0.005123825789923098
1968,0.10814862651601535,0.053376,0.032746196950768365,0.04845146224309746,0.04133858267716528,0.12474964234620889
1969,-0.08241371076449064,0.06668467741935484,-0.050140493209926106,-0.02025164250792147,0.06994328922495274,0.05011447468837438
1970,0.03561144905496419,0.06391,0.16754737183412338,0.05649567656988873,0.08215547703180204,-0.09447674418604646
1971,0.14221150298426474,0.0433425702811245,0.09786896619712297,0.1400146617421994,0.0424489795918368,0.1669341894060994
1972,0.18755362915074925,0.0406184,0.02818449050444969,0.11409093579389698,0.029757243539545897,0.4878496102705183
1973,-0.14308047437526472,0.07035443548387096,0.036586646024150085,0.043180404854323576,0.034220532319391594,0.7295839753466871
1974,-0.2590178575089697,0.07845783132530121,0.019886086932378574,-0.04380719797719167,0.10073529411764692,0.6614699331848553
1975,0.36995137106184356,0.05786385542168675,0.03605253602603384,0.11049964074144952,0.06773709374926429,-0.24798927613941024
1976,0.23830999002106662,0.049766000000000005,0.1598456074290921,0.19752813987098014,0.08177834856840671,-0.04099821746880572
1977,-0.06979704075935232,0.05260963855421687,0.012899606071070449,0.09954662852090639,0.14654841300324728,0.2263940520446095
1978,0.0650928391167193,0.07178306451612904,-0.007775806907508648,0.03137584977169086,0.15723596053112443,0.3701121551985451
1979,0.18519490167516386,0.10054274193548388,0.006707203124723546,-0.020091101436615355,0.13742466907023854,1.2654867256637168
1980,0.3173524550676301,0.1139188,-0.02989744251999403,-0.033156783371910456,0.07396867263598716,0.15185546875
1981,-0.04702390247495576,0.14036184738955823,0.08199215335892354,0.08462399480891206,0.050950062475763724,-0.3259855871131836
1982,0.20419055079559353,0.10603413654618475,0.32814549486295586,0.2905245565590866,0.005637209683701183,0.15622641509433977
1983,0.22337155858930619,0.0861764,0.032002094451429264,0.16194289622798344,0.04749480207101797,-0.16797214969538743
1984,0.0614614199963621,0.09540281124497993,0.13733364344102345,0.15619207332454216,0.04678134973145487,-0.193776150627615
1985,0.3123514948576895,0.07471129032258064,0.2571248821260641,0.23862641849916477,0.07471371207614519,0.0600064871878041
1986,0.18494578758046187,0.059692800000000004,0.24284215141767618,0.21354060117746398,0.09612357509816483,0.18956548347613222
1987,0.05812721641821871,0.0577736,-0.04960508937926228,0.028125853555458283,0.07852543870723383,0.24527331189710622
1988,0.16537192812044688,0.0666844,0.08223595843484167,0.14382285179475657,0.07220824066487186,-0.1525511258004545
